"Customer ID","Fictional Surname","Age","Gender","Years at address","Employment status","Country","Current debt","Postcode","Income","Own home","CCJs","Loan amount","Outcome"
"945780","Miah","19","F","2","Unemployed","UK","0","TA3 7SH","45500","Rent","1","13234","Paid"
"747989","Hollis","66","F","13","Unemployed","UK","1080","WV6 8SU","18000","Own","0","5561","Paid"
"790344","Barker","48","F","4","Self Employed","UK","3690","BT15 5HG","47500","Rent","1","28288","Paid"
"597668","Titford","67","F","47","Self Employed","UK","6560","GU10 3NH","36000","Mortgage","0","30199","Paid"
"794971","Berry","70","M","8","Self Employed","UK","9100","GL6 6UB","50500","Own","0","35078","Paid"
"563000","Ryan","77","F","5","Self Employed","UK","8850","PH2 7RS","14000","Mortgage","2","5513","Paid"
"1109089","Varnam","28","F","3","Unemployed","UK","2150","JE3 1HG","49000","Own","1","6159","Paid"
"763562","Hughes","47","M","1","Unemployed","UK","2560","EX17 6RA","30500","Own","0","25813","Paid"
"727243","Hewitt","25","F","8","Self Employed","UK","6130","BR2 8QG","40000","Own","0","25885","Paid"
"827260","Centraco","89","F","49","Employed","UK","1090","SO20 8HZ","34500","Own","3","15398","Paid"
"871886","Hatch","78","F","46","Employed","UK","9820","CF62 3DD","36500","Own","0","18974","Defaulted"
"899694","Bowman","62","M","23","Self Employed","UK","980","S2 3QL","22500","Own","0","20925","Paid"
"820916","Issele","68","M","25","Employed","UK","9460","IV55 8GB","14500","Own","2","2218","Defaulted"
"977821","Green","73","F","28","Self Employed","UK","8550","W11 4RD","52000","Rent","0","41973","Defaulted"
"817398","Brooks","72","M","25","Employed","UK","7790","JE2 3JB","51500","Rent","3","42697","Defaulted"
"1095868","Huke","20","M","1","Employed","UK","30","LL57 4TQ","10500","Mortgage","1","4132","Paid"
"973693","Reed","43","M","18","Employed","UK","500","BR2 8QA","22500","Mortgage","3","21901","Defaulted"
"687118","Weight","83","M","37","Self Employed","UK","20","BT9 6JN","27500","Own","2","22036","Defaulted"
"608121","Newton","65","F","33","Self Employed","UK","3700","GU28 0AB","31000","Mortgage","0","19737","Paid"
"784391","Talbot","82","M","32","Self Employed","UK","560","N7 6DH","54000","Mortgage","1","31498","Paid"
"1072180","Everitt","38","M","15","Unemployed","UK","1410","OX33 1UU","24500","Own","1","8089","Paid"
"1030954","Weed","44","M","4","Self Employed","UK","1940","HP22 5TY","12500","Mortgage","3","5589","Defaulted"
"892175","Licence","76","M","47","Self Employed","UK","4710","TQ13 8HU","15000","Mortgage","0","318","Paid"
"984774","Patel","81","M","58","Employed","UK","2620","IM7 5EX","20000","Mortgage","1","14218","Defaulted"
"610796","Vance","19","F","2","Self Employed","UK","780","CO10 0AT","40000","Own","0","27177","Defaulted"
"577499","Weiss","35","M","9","Self Employed","UK","1400","BR2 6HW","33000","Own","2","17267","Defaulted"
"654607","Matthews","69","M","2","Self Employed","UK","10","GL55 6SL","42000","Own","0","7422","Paid"
"664618","Jepson","30","M","1","Self Employed","UK","150","RM4 1EX","51500","Own","0","29792","Paid"
"639386","Robinson","68","M","1","Self Employed","UK","3530","BT9 5QU","44500","Own","2","27439","Defaulted"
"981387","Oldham","26","F","7","Unemployed","UK","4480","DT10 1PP","26500","Own","3","9548","Defaulted"
"592696","Stewart","88","M","23","Self Employed","UK","4100","NE2 2HE","34500","Own","0","16079","Paid"
"1041347","Woolhouse","79","M","25","Self Employed","UK","150","LS21 1HL","52000","Mortgage","0","18079","Paid"
"1092292","Botwright","61","M","21","Self Employed","UK","660","BT67 0NA","50000","Rent","0","13624","Paid"
"572808","Dasandi","66","M","35","Unemployed","UK","1030","PE31 7HH","32000","Own","0","19593","Paid"
"991317","Maisuria","19","M","2","Self Employed","UK","1640","SA3 4SJ","24000","Own","2","20772","Defaulted"
"937214","Atkins","72","M","4","Self Employed","UK","1050","KT10 8HY","22500","Mortgage","0","4019","Paid"
"1097946","Cambridge","67","M","27","Self Employed","UK","8520","IG10 1HN","53000","Mortgage","2","313","Defaulted"
"1083794","Campbell","45","M","2","Employed","UK","1290","N12 9JN","39500","Mortgage","1","1976","Paid"
"991787","Taylor","85","M","10","Self Employed","UK","3460","BH24 2JY","51000","Own","0","1584","Paid"
"1108891","Coleing","35","M","3","Self Employed","UK","2310","B45 8LX","18000","Mortgage","3","9708","Defaulted"
"1049352","Lever","85","F","23","Self Employed","UK","7160","WA14 4HJ","28500","Own","0","13706","Paid"
"733305","Harris","26","F","2","Unemployed","UK","3490","BD11 1HL","53500","Own","0","47213","Paid"
"979431","De,ath","56","M","37","Unemployed","UK","8380","ME14 4BS","53000","Own","2","47823","Paid"
"771718","Cocks","21","M","3","Self Employed","UK","8260","LL34 6RD","42000","Own","3","26356","Paid"
"673173","Haseltine","85","M","62","Unemployed","UK","290","KT12 5HZ","47500","Mortgage","0","10257","Paid"
"813939","Nazemian","62","F","43","Unemployed","UK","9790","LS22 5AA","12500","Own","3","3902","Defaulted"
"870360","Freeman","73","F","30","Unemployed","UK","7240","E18 2PE","23000","Rent","0","20771","Paid"
"666371","Jackson","22","F","3","Self Employed","UK","3880","GU29 9AY","26500","Mortgage","0","17311","Paid"
"889045","Exchange Ltd","85","F","2","Unemployed","UK","7340","W11 1BN","46000","Own","0","28556","Paid"
"619329","Sommerville","79","M","27","Self Employed","UK","0","AB32 6HR","43000","Rent","2","23590","Defaulted"
"879806","Ripley","81","M","15","Self Employed","UK","1800","KT17 1NF","17500","Own","0","2129","Paid"
"946361","White","27","M","1","Unemployed","UK","4970","LE8 0SF","33500","Mortgage","0","23788","Defaulted"
"1039259","Al-Boucari","78","M","8","Unemployed","UK","1400","TW8 0DD","53500","Own","0","12001","Paid"
"979034","Maxwell","43","M","17","Unemployed","UK","4230","S10 3TP","38000","Rent","3","14741","Paid"
"589831","Cole","65","F","9","Employed","UK","8580","GY2 4TR","47500","Own","2","20023","Paid"
"932081","Oates","75","M","57","Unemployed","UK","3370","PH6 2EG","42500","Own","0","28604","Paid"
"788967","Sutton","34","M","2","Unemployed","UK","10","W11 2QT","43500","Mortgage","1","36778","Paid"
"724546","Dewan","65","F","46","Unemployed","France","7100","LL15 1SG","27500","Own","3","3238","Paid"
"670662","MacLeod","87","M","51","Employed","UK","30","DE22 2FP","40500","Own","2","34004","Paid"
"861461","Morris","38","F","7","Employed","UK","6390","TN6 1BH","10500","Mortgage","0","4966","Defaulted"
"723607","Hanson","32","M","14","Unemployed","UK","7410","WA14 3LT","42500","Own","1","32133","Paid"
"988676","Jones","39","F","2","Self Employed","UK","5490","LE2 3RG","30000","Mortgage","1","13827","Defaulted"
"995019","Burdett","58","M","32","Self Employed","UK","6220","BT47 3BB","42500","Mortgage","0","31126","Paid"
"642032","Taylor","58","M","17","Employed","UK","60","IM3 2AZ","45000","Rent","1","37036","Defaulted"
"562809","Andrews","82","F","64","Self Employed","UK","3320","N2 9DY","15000","Own","2","11419","Paid"
"585835","Laing","43","M","4","Self Employed","UK","2010","TN21 0LF","27500","Mortgage","3","17358","Defaulted"
"936973","Scott-Mullen","62","M","1","Employed","UK","920","IP28 6JA","21500","Mortgage","0","18444","Defaulted"
"784682","Scott-Mullen","67","M","33","Self Employed","UK","9330","HP9 2LZ","47500","Own","1","5696","Paid"
"1075577","Tessadri","39","M","16","Self Employed","UK","2480","TA23 0LW","28500","Mortgage","2","8813","Defaulted"
"707817","Avery","75","M","57","Self Employed","UK","2200","KT19 0TE","42500","Own","0","14812","Paid"
